Metric,Value
source_id,rj_start1
source_occurrences,1129
master_notes,901
released_notes,638
inventory_notes,901
identity_review_items,0
learner_review_suggestions,0
registry_rows,802
source_identity_map_rows,802
registry_changed,false
release_registry_changed,false
rj_start1_grade1_view,98
rj_start1_grade2_view,109
rj_start1_grade3_view,184
rj_start1_grade4_view,201
rj_start1_grade5_view,167
rj_start1_grade6_view,141
actual_grade4_occurrences,221
actual_grade4_notes,221
actual_grade4_new_notes,99
actual_grade4_fact_overrides,99
actual_grade4_release_extensions,120
learning_admission_mode,explicit
learning_admission_allowed,221
learning_admission_held,417
stage_grade4_current,221
stage_grade4_new,0
stage_grade4_review,0
stage_library,417
stage_lower_grade_backfill,0
learner_review_registry_current,638
learner_model_reviewed_current,511
learner_human_reviewed_current,0
learner_review_pending_current,127
learner_baseline_v2_revalidated,511
