NoteID,CanonicalWord,SenseLabel,British,American,MatchBasis,EvidenceSources,Resolution
KV000902,team,（游戏或运动的）队；（一起工作的）组，班,[tiːm],[tiːm],team,staging:beijing_start1_staging|staging:beishida_start1_staging|staging:cambridge_join_start3_staging|staging:hujiao_start3_staging|staging:kepu_start3_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging,auto-exact-unanimous
KV000903,player,运动员；参赛选手,[ˈpleɪə(r)],[ˈpleɪər],player,staging:cambridge_join_start3_staging|staging:jiaoke_eec_start3_staging|staging:waiyan_start1_staging,auto-exact-unanimous
KV000904,him,他,[hɪm; ɪm],[hɪm; ɪm],him,staging:beijing_start1_staging|staging:beishida_start3_staging|staging:cambridge_join_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:jiaoke_eec_start3_staging|staging:jijiao_start3_staging|staging:kepu_start3_staging|staging:renjiao_start3_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging|staging:yilin_start3_staging,auto-exact-unanimous
KV000905,hard-working,工作努力的；辛勤的,[ˌhɑːd ˈwɜːkɪŋ],[ˌhɑːrd ˈwɜːrkɪŋ],hard-working,staging:renjiao_start3_staging,auto-exact-unanimous
KV000906,robot,机器人,[ˈrəʊbɒt],[ˈroʊbɑːt],robot,staging:beijing_start1_staging|staging:beishida_start1_staging|staging:beishida_start3_staging|staging:cambridge_join_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:jiaoke_eec_start3_staging|staging:niujin_shanghai_start1_staging|staging:renjiao_start3_staging|staging:waiyan_start3_staging|staging:yilin_start3_staging,auto-exact-unanimous
KV000907,jump,跳；跃,[dʒʌmp],[dʒʌmp],jump,staging:beijing_start1_staging|staging:beishida_start1_staging|staging:beishida_start3_staging|staging:cambridge_join_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:jiaoke_eec_start3_staging|staging:jijiao_start3_staging|staging:kepu_start3_staging|staging:niujin_shanghai_start1_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging|staging:xiangshao_start3_staging|staging:yilin_start3_staging,auto-exact-unanimous
KV000908,rope,绳；粗绳,[rəʊp],[roʊp],rope,staging:cambridge_join_start3_staging,auto-exact-unanimous
KV000909,piano,钢琴,[piˈænəʊ],[piˈænoʊ],piano,staging:beishida_start1_staging|staging:beishida_start3_staging|staging:cambridge_join_start3_staging|staging:hujiao_start3_staging|staging:jiaoke_eec_start3_staging|staging:kepu_start3_staging|staging:niujin_shanghai_start1_staging|staging:waiyan_start1_staging|staging:xiangshao_start3_staging,auto-exact-unanimous
KV000910,chess,国际象棋,[tʃes],[tʃes],chess,staging:beijing_start1_staging|staging:guangzhou_start3_staging|staging:waiyan_start3_staging|staging:xiangshao_start3_staging,auto-exact-unanimous
KV000911,front,前部,[frʌnt],[frʌnt],front,staging:beijing_start1_staging|staging:guangzhou_start3_staging|staging:renjiao_start3_staging|staging:waiyan_start1_staging,auto-exact-unanimous
KV000912,easy,容易的；轻易的,[ˈiːzi],[ˈiːzi],easy,staging:beijing_start1_staging|staging:beishida_start1_staging|staging:beishida_start3_staging|staging:cambridge_join_start3_staging|staging:guangdong_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:jiaoke_eec_start3_staging|staging:jijiao_start3_staging|staging:kepu_start3_staging|staging:renjiao_start3_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging|staging:xiangshao_start3_staging|staging:yilin_start3_staging,auto-exact-unanimous
KV000913,star,歌唱（或表演）明星,[stɑː(r)],[stɑːr],star,legacy:rj_start1-master|staging:beijing_start1_staging|staging:beishida_start1_staging|staging:cambridge_join_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:jiaoke_eec_start3_staging|staging:jijiao_start3_staging|staging:kepu_start3_staging|staging:niujin_shanghai_start1_staging|staging:renjiao_start1_staging|staging:renjiao_start3_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging|staging:xiangshao_start3_staging|staging:yilin_start3_staging,auto-exact-unanimous
KV000914,matter,事情；问题,[ˈmætə(r)],[ˈmætər],matter,staging:cambridge_join_start3_staging|staging:guangzhou_start3_staging|staging:jiaoke_eec_start3_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging,auto-exact-unanimous
KV000915,project,项目；方案,[ˈprɒdʒekt],[ˈprɑːdʒekt],project,staging:hujiao_start3_staging|staging:niujin_shanghai_start1_staging|staging:waiyan_start3_staging|staging:yilin_start3_staging,auto-exact-unanimous
KV000916,centre,中心,[ˈsentə(r)],[ˈsentər],centre,staging:guangzhou_start3_staging|staging:kepu_start3_staging|staging:niujin_shanghai_start1_staging|staging:xiangshao_start3_staging,auto-exact-unanimous
KV000917,agree,同意；赞成,[əˈɡriː],[əˈɡriː],agree,staging:beishida_start1_staging|staging:jiaoke_eec_start3_staging|staging:niujin_shanghai_start1_staging,auto-exact-unanimous
KV000918,finish,完成；做好,[ˈfɪnɪʃ],[ˈfɪnɪʃ],finish,staging:beijing_start1_staging|staging:guangdong_start3_staging|staging:guangzhou_start3_staging|staging:jiaoke_eec_start3_staging|staging:niujin_shanghai_start1_staging|staging:renjiao_start3_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging|staging:yilin_start3_staging,auto-exact-unanimous
KV000919,both,两者,[bəʊθ],[boʊθ],both,staging:beijing_start1_staging|staging:cambridge_join_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:niujin_shanghai_start1_staging|staging:renjiao_start3_staging|staging:waiyan_start1_staging|staging:yilin_start3_staging,auto-exact-unanimous
KV000920,wrong,错误的,[rɒŋ],[rɔːŋ],wrong,staging:beijing_start1_staging|staging:beishida_start3_staging|staging:cambridge_join_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:jijiao_start3_staging|staging:kepu_start3_staging|staging:renjiao_start3_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging|staging:xiangshao_start3_staging|staging:yilin_start3_staging,auto-exact-unanimous
