NoteID,Word,FirstGrade,ExampleSentence,Reason
KV000902,team,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000903,player,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000904,him,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000905,hard-working,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000906,robot,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000907,jump,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000908,rope,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000909,piano,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000910,chess,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000911,front,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000912,easy,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000913,star,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000914,matter,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000915,project,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000916,centre,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000917,agree,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000918,finish,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000919,both,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000920,wrong,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000921,afraid,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000922,parent,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000923,ask,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000924,laugh,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000925,move,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000926,start,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000927,weekend,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000928,lesson,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000929,answer,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000930,night,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000931,visit,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000932,grandparent,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000933,flu,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000934,else,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000935,enough,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000936,if,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000937,show,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000938,then,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000939,rest,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000940,take care of,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000941,check,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000942,brush,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000943,tooth,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000944,twice,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000945,hour,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000946,beef,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000947,little,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000948,Mrs,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000949,coconut,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000950,seed,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000951,pull,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000952,stem,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000953,root,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000954,lotus,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000955,world,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000956,round,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000957,way,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000958,river,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000959,nature,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000960,waterfall,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000961,mountain,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000962,wind,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000963,trip,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000964,heavy,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000965,close,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000966,raincoat,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000967,worry,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000968,fine,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000969,fog,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
