SourceOccurrenceKey,SourceID,SourceBook,Grade,Semester,SourceRow,Word,MatchKey,British,American,Definition,SourceFile
jijiao_start3|g3-upper|r002|hello,jijiao_start3,3年级上,3,上,2,hello,hello,[həˈləʊ],[həˈləʊ],"n. 表示问候, 惊奇或唤起注意时的用语 int. 喂;哈罗",冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r003|hi,jijiao_start3,3年级上,3,上,3,hi,hi,[haɪ],[haɪ],int. 嗨!(表示问候或用以唤起注意),冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r004|hello,jijiao_start3,3年级上,3,上,4,hello,hello,[həˈləʊ],[həˈləʊ],"n. 表示问候, 惊奇或唤起注意时的用语 int. 喂;哈罗",冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r005|boy,jijiao_start3,3年级上,3,上,5,boy,boy,[bɔɪ],[bɔɪ],n. 男孩;男人,冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r006|girl,jijiao_start3,3年级上,3,上,6,girl,girl,[ɡɜːl],[ɡɜːrl],"n. 女孩;姑娘,未婚女子;女职员,女演员;(男人的)女朋友 n. (捷)吉尔",冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r007|teacher,jijiao_start3,3年级上,3,上,7,teacher,teacher,[ˈtiːtʃə(r)],[ˈtiːtʃər],n. 教师;导师,冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r008|school,jijiao_start3,3年级上,3,上,8,school,school,[skuːl],[skuːl],n. 学校;学院;学派;鱼群 vt. 教育,冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r009|book,jijiao_start3,3年级上,3,上,9,book,book,[bʊk],[bʊk],n. 书籍;卷;帐簿;名册;工作簿 vt. 预订;登记,冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r010|chair,jijiao_start3,3年级上,3,上,10,chair,chair,[tʃeə(r)],[tʃer],n. 椅子;讲座;(会议的)主席位;大学教授的职位 vt. 担任(会议的)主席;使...入座;使就任要职,冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r011|desk,jijiao_start3,3年级上,3,上,11,desk,desk,[desk],[desk],n. 办公桌;服务台;编辑部;(美)讲道台;乐谱架 adj. 书桌的;桌上用的;伏案做的,冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r012|one,jijiao_start3,3年级上,3,上,12,one,one,[wʌn],[wʌn],pron. 一个人;任何人 adj. 一的;唯一的 n. 一 num. 一;一个,冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r013|two,jijiao_start3,3年级上,3,上,13,two,two,[tuː],[tuː],num. 二 n. 两个 adj. 两个的,冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r014|three,jijiao_start3,3年级上,3,上,14,three,three,[θriː],[θriː],"num. 三 n. 三,三个 adj. 三的,三个的",冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r015|four,jijiao_start3,3年级上,3,上,15,four,four,[fɔː(r)],[fɔːr],num. 四;四个 adj. 四的;四个的,冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r016|five,jijiao_start3,3年级上,3,上,16,five,five,[faɪv],[faɪv],"num. 五,五个 n. 五,五个;五美元钞票 adj. 五的;五个的",冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r017|pencil,jijiao_start3,3年级上,3,上,17,pencil,pencil,[ˈpens(ə)l],[ˈpensl],n. 铅笔;笔状物 vt. 用铅笔写;用眉笔涂 vi. 成铅笔状,冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r018|pen,jijiao_start3,3年级上,3,上,18,pen,pen,[pen],[pen],n. 钢笔;作家;围栏 vt. 写;关入栏中,冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r019|ruler,jijiao_start3,3年级上,3,上,19,ruler,ruler,[ˈruːlə(r)],[ˈruːlər],"n. 尺;统治者;[测] 划线板,划线的人",冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r020|crayon,jijiao_start3,3年级上,3,上,20,crayon,crayon,[ˈkreɪən; ˈkreɪɒn],[ˈkreɪən; ˈkreɪɑːn],"n. 蜡笔,有色粉笔 vt. 以蜡笔作画,用颜色粉笔画",冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r021|pencil box,jijiao_start3,3年级上,3,上,21,pencil box,pencil box,,,铅笔盒;文具盒;你的铅笔盒,冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r022|six,jijiao_start3,3年级上,3,上,22,six,six,[sɪks],[sɪks],"num. 六,六个 n. 六,六个",冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r023|seven,jijiao_start3,3年级上,3,上,23,seven,seven,[ˈsev(ə)n],[ˈsev(ə)n],"num. 七个,七 n. 七个,七 adj. 七的;七个的",冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r024|eight,jijiao_start3,3年级上,3,上,24,eight,eight,[eɪt],[eɪt],num. 八;八个;第八 n. 八字形 adj. 八的,冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r025|nine,jijiao_start3,3年级上,3,上,25,nine,nine,[naɪn],[naɪn],"n. 九,九个 num. 九;九个 adj. 九的,九个的",冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r026|ten,jijiao_start3,3年级上,3,上,26,ten,ten,[ten],[ten],"num. 十个,十",冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r027|friend,jijiao_start3,3年级上,3,上,27,friend,friend,[frend],[frend],n. 朋友;助手;赞助者,冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r028|window,jijiao_start3,3年级上,3,上,28,window,window,[ˈwɪndəʊ],[ˈwɪndoʊ],n. 窗;窗口;窗户,冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r029|red,jijiao_start3,3年级上,3,上,29,red,red,[red],[red],"n. 红色,红颜料;赤字 adj. 红色的;红肿的,充血的",冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r030|yellow,jijiao_start3,3年级上,3,上,30,yellow,yellow,[ˈjeləʊ],[ˈjeloʊ],n. 黄色;黄种人;黄色颜料 adj. 黄色的;黄皮肤的 vt. 使变黄或发黄 vi. 变黄或发黄,冀教版三年级起点三年级上.xlsx
