SourceOccurrenceKey,SourceID,SourceBook,Grade,Semester,SourceRow,Word,MatchKey,British,American,Definition,SourceFile
kepu_start3|g3-upper|r002|hi,kepu_start3,3年级上,3,上,2,hi,hi,[haɪ],[haɪ],int. 嗨!(表示问候或用以唤起注意),科普版三年级起点三年级上.xlsx
kepu_start3|g3-upper|r003|hello,kepu_start3,3年级上,3,上,3,hello,hello,[həˈləʊ],[həˈləʊ],"n. 表示问候, 惊奇或唤起注意时的用语 int. 喂;哈罗",科普版三年级起点三年级上.xlsx
kepu_start3|g3-upper|r004|pig,kepu_start3,3年级上,3,上,4,pig,pig,[pɪɡ],[pɪɡ],"n. 猪;猪肉 vi. 生小猪;像猪一样过活 n. 警察(俚语,带有攻击性)",科普版三年级起点三年级上.xlsx
kepu_start3|g3-upper|r005|i,kepu_start3,3年级上,3,上,5,I,i,[aɪ],[aɪ],n. 碘元素;英语字母I pron. 我,科普版三年级起点三年级上.xlsx
kepu_start3|g3-upper|r006|am,kepu_start3,3年级上,3,上,6,am,am,[əm; æm],[əm; æm],abbr. 调幅 v. 是,科普版三年级起点三年级上.xlsx
kepu_start3|g3-upper|r007|a,kepu_start3,3年级上,3,上,7,a,a,[ə],[ə; eɪ],n. 字母A;第一流的;学业成绩达最高标准的评价符号 abbr. [物]安(ampere),科普版三年级起点三年级上.xlsx
kepu_start3|g3-upper|r008|cat,kepu_start3,3年级上,3,上,8,cat,cat,[kæt],[kæt],"n. 猫,猫科动物",科普版三年级起点三年级上.xlsx
kepu_start3|g3-upper|r009|dog,kepu_start3,3年级上,3,上,9,dog,dog,[dɒɡ],[dɔːɡ],n. 狗;丑女人;卑鄙的人;(俚)朋友 vt. 跟踪;尾随,科普版三年级起点三年级上.xlsx
kepu_start3|g3-upper|r010|fox,kepu_start3,3年级上,3,上,10,fox,fox,[fɒks],[fɑːks],n. 狐狸;狡猾的人 vt. 欺骗;使变酸 vi. 假装;耍狡猾手段,科普版三年级起点三年级上.xlsx
kepu_start3|g3-upper|r011|are,kepu_start3,3年级上,3,上,11,are,are,[ɑ:(r)],[ər; ɑːr; er],v. 是(be的第二人称单复数现在式) n. 公亩,科普版三年级起点三年级上.xlsx
kepu_start3|g3-upper|r012|you,kepu_start3,3年级上,3,上,12,you,you,[ju],[juː; jə],pron. 你;你们,科普版三年级起点三年级上.xlsx
kepu_start3|g3-upper|r013|yes,kepu_start3,3年级上,3,上,13,yes,yes,[jes],[jes],"n. 是(表示肯定) adv. 是, 是的",科普版三年级起点三年级上.xlsx
kepu_start3|g3-upper|r014|mr,kepu_start3,3年级上,3,上,14,Mr,mr,[ˈmɪstə(r)],[ˈmɪstər],abbr. 先生(Mister),科普版三年级起点三年级上.xlsx
kepu_start3|g3-upper|r015|no,kepu_start3,3年级上,3,上,15,no,no,[nəʊ],[noʊ],adv. 不 adj. 没有;不是 n. 不;否决票 abbr. 数字(number);元素锘(nobelium)的符号,科普版三年级起点三年级上.xlsx
