SourceOccurrenceKey,SourceID,SourceBook,Grade,Semester,SourceRow,Word,MatchKey,British,American,Definition,SourceFile
niujin_shanghai_start1|g1-upper|r002|morning,niujin_shanghai_start1,1年级上,1,上,2,morning,morning,[ˈmɔːnɪŋ],[ˈmɔːrnɪŋ],n. 早晨;黎明;初期,牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r003|afternoon,niujin_shanghai_start1,1年级上,1,上,3,afternoon,afternoon,[ˌɑːftəˈnuːn],[ˌæftərˈnuːn],"n. 午后,下午",牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r004|book,niujin_shanghai_start1,1年级上,1,上,4,book,book,[bʊk],[bʊk],n. 书籍;卷;帐簿;名册;工作簿 vt. 预订;登记,牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r005|ruler,niujin_shanghai_start1,1年级上,1,上,5,ruler,ruler,[ˈruːlə(r)],[ˈruːlər],"n. 尺;统治者;[测] 划线板,划线的人",牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r006|pencil,niujin_shanghai_start1,1年级上,1,上,6,pencil,pencil,[ˈpens(ə)l],[ˈpensl],n. 铅笔;笔状物 vt. 用铅笔写;用眉笔涂 vi. 成铅笔状,牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r007|rubber,niujin_shanghai_start1,1年级上,1,上,7,rubber,rubber,[ˈrʌbə(r)],[ˈrʌbər],n. 橡胶;橡皮;合成橡胶;按摩师 adj. 橡胶制成的 vt. 涂橡胶于;用橡胶制造 vi. 扭转脖子看;好奇地引颈而望,牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r008|eye,niujin_shanghai_start1,1年级上,1,上,8,eye,eye,[aɪ],[aɪ],"n. 眼睛;视力;眼光;见解,观点 vt. 注视,看",牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r009|mouth,niujin_shanghai_start1,1年级上,1,上,9,mouth,mouth,[maʊθ],[maʊθ],"n. 口,嘴;河口 vt. 做作地说,装腔作势地说;喃喃地说出 vi. 装腔作势说话",牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r010|face,niujin_shanghai_start1,1年级上,1,上,10,face,face,[feɪs],[feɪs],n. 脸;表面;面子;面容;外观;威信 vi. 向;朝 vt. 面对;面向;承认;抹盖,牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r011|nose,niujin_shanghai_start1,1年级上,1,上,11,nose,nose,[nəʊz],[noʊz],n. 鼻子;嗅觉;突出的部分;探问 vt. 嗅;用鼻子触 vi. 小心探索着前进;探问,牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r012|ear,niujin_shanghai_start1,1年级上,1,上,12,ear,ear,[ɪə(r)],[ɪr],n. 耳朵;穗;听觉;倾听 vi. (美俚)听见;抽穗,牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r013|dance,niujin_shanghai_start1,1年级上,1,上,13,dance,dance,[dɑːns],[dæns],n. 舞蹈;舞会;舞曲 adj. 舞蹈的;用于跳舞的 vt. 跳舞;使跳跃 vi. 跳舞;跳跃;飘扬,牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r014|read,niujin_shanghai_start1,1年级上,1,上,14,read,read,[riːd],[riːd],"n. 阅读;读物 adj. 有学问的 vi. 读;读起来 vt. 阅读;读懂,理解",牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r015|sing,niujin_shanghai_start1,1年级上,1,上,15,sing,sing,[sɪŋ],[sɪŋ],n. 演唱;鸣声;呼啸声 vt. 唱;用诗赞颂;唱着使 vi. 唱歌;歌颂;鸣叫;呼号,牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r016|draw,niujin_shanghai_start1,1年级上,1,上,16,draw,draw,[drɔː],[drɔː],n. 平局;抽签 vi. 拉;拖 vt. 画;拉;吸引,牛津上海版一年级上册.xlsx
