MatchKey,DisplayForms,Definitions,Books,OccurrenceCount,StageAClass,SeedMatchKeys,SeedDisplayForms,SeedDefinitions,NeedsSenseReview
a,a,n. 字母A;第一流的;学业成绩达最高标准的评价符号 abbr. [物]安(ampere),1年级上,1,exact-surface-overlap,a,a,n. 字母A;第一流的;学业成绩达最高标准的评价符号 abbr. [物]安(ampere),yes
afternoon,afternoon,"n. 午后,下午",3年级上,1,exact-surface-overlap,afternoon,afternoon,"n. 午后,下午",yes
all,all,n. 全部 adj. 全部的 adv. 全然地;越发 pron. 全部,5年级上,1,exact-surface-overlap,all,all,n. 全部 adj. 全部的 adv. 全然地;越发 pron. 全部,yes
also,also,conj. 并且;另外 adv. 也;而且;同样,5年级上,1,exact-surface-overlap,also,also,conj. 并且;另外 adv. 也;而且;同样,yes
an,an,art. 一(在元音音素前),1年级上,1,exact-surface-overlap,an,an,art. 一(在元音音素前),yes
and,and,"conj. 和,与;就;而且;但是;然后",1年级下,1,exact-surface-overlap,and,and,"conj. 和,与;就;而且;但是;然后",yes
angry,angry,adj. 生气的;愤怒的;狂暴的;(伤口等)发炎的,6年级上,1,exact-surface-overlap,angry,angry,adj. 生气的;愤怒的;狂暴的;(伤口等)发炎的,yes
animal,animal,n. 动物 动物的,5年级上,1,exact-surface-overlap,animal,animal,n. 动物 动物的,yes
apple,apple,"n. 苹果,苹果树,苹果似的东西;[美俚]炸弹,手榴弹,(棒球的)球;[美俚]人,家伙。",1年级上|4年级上,2,exact-surface-overlap,apple,apple,"n. 苹果,苹果树,苹果似的东西;[美俚]炸弹,手榴弹,(棒球的)球;[美俚]人,家伙。",yes
april,April,n. 四月,3年级上,1,exact-surface-overlap,april,April,n. 四月,yes
are,are,v. 是(be的第二人称单复数现在式) n. 公亩,1年级上,1,exact-surface-overlap,are,are,v. 是(be的第二人称单复数现在式) n. 公亩,yes
arm,arm,n. 手臂;武器;袖子;装备;部门 vt. 武装;备战 vi. 武装起来,3年级上,1,exact-surface-overlap,arm,arm,n. 手臂;武器;袖子;装备;部门 vt. 武装;备战 vi. 武装起来,yes
around,around,prep. 四处;在...周围 adv. 大约;到处;在附近,6年级上,1,exact-surface-overlap,around,around,prep. 四处;在...周围 adv. 大约;到处;在附近,yes
art,art,n. 艺术;美术;艺术品 v. 是(be的变体) adj. 艺术的;艺术品的,3年级下,1,exact-surface-overlap,art,art,n. 艺术;美术;艺术品 v. 是(be的变体) adj. 艺术的;艺术品的,yes
at,at,prep. 在(表示存在或出现的地点、场所、位置、空间);以(某种价格、速度等);向;达;因为;朝;忙于 n. 阿特(老挝货币基本单位att);[化]砹(极不稳定放射性元素) abbr. 密封的(airtight);气温(air temperature),2年级下,1,exact-surface-overlap,at,at,prep. 在(表示存在或出现的地点、场所、位置、空间);以(某种价格、速度等);向;达;因为;朝;忙于 n. 阿特(老挝货币基本单位att);[化]砹(极不稳定放射性元素) abbr. 密封的(airtight);气温(air temperature),yes
august,August,n. 八月(简写为Aug) adj. 威严的;令人敬畏的,3年级上,1,exact-surface-overlap,august,August,n. 八月(简写为Aug) adj. 威严的;令人敬畏的,yes
aunt,aunt,n. 阿姨;姑妈;伯母;舅妈,3年级下,1,exact-surface-overlap,aunt,aunt,n. 阿姨;姑妈;伯母;舅妈,yes
autumn,autumn,"n. 秋天;成熟期;渐衰期,凋落期 adj. 秋天的,秋季的",2年级下,1,exact-surface-overlap,autumn,autumn,"n. 秋天;成熟期;渐衰期,凋落期 adj. 秋天的,秋季的",yes
bad,bad,"n. 坏事;坏人 adj. 坏的;严重的;劣质的 adv. 很,非常;坏地;邪恶地",3年级上,1,exact-surface-overlap,bad,bad,"n. 坏事;坏人 adj. 坏的;严重的;劣质的 adv. 很,非常;坏地;邪恶地",yes
ball,ball,n. 球;舞会 vt. 捏成球形 vi. 成团块,1年级下|4年级下,2,exact-surface-overlap,ball,ball,n. 球;舞会 vt. 捏成球形 vi. 成团块,yes
banana,banana,n. 香蕉;喜剧演员;大鹰钩鼻,1年级上,1,exact-surface-overlap,banana,banana,n. 香蕉;喜剧演员;大鹰钩鼻,yes
basketball,basketball,n. 篮球;篮球运动,4年级上,1,exact-surface-overlap,basketball,basketball,n. 篮球;篮球运动,yes
bathroom,bathroom,n. 浴室;厕所;盥洗室,3年级下,1,exact-surface-overlap,bathroom,bathroom,n. 浴室;厕所;盥洗室,yes
bear,bear,"n. 熊 vt. 结果实,开花(正式) vt. 忍受;承受;具有;支撑",1年级下,1,exact-surface-overlap,bear,bear,"n. 熊 vt. 结果实,开花(正式) vt. 忍受;承受;具有;支撑",yes
beautiful,beautiful,adj. 美丽的 出色地 出色的 迷人的 迷人地,3年级下,1,exact-surface-overlap,beautiful,beautiful,adj. 美丽的 出色地 出色的 迷人的 迷人地,yes
bed,bed,"n. 床;基础;河底, 海底 vt. 使睡觉;安置,嵌入;栽种 vi. 上床;分层",1年级下|3年级下,2,exact-surface-overlap,bed,bed,"n. 床;基础;河底, 海底 vt. 使睡觉;安置,嵌入;栽种 vi. 上床;分层",yes
bee,bee,"n. 蜜蜂,蜂;勤劳的人",5年级上,1,exact-surface-overlap,bee,bee,"n. 蜜蜂,蜂;勤劳的人",yes
before,before,"prep. 在...之前,先于 conj. 在...以前;在...之前 adv. 以前;在前",4年级下|5年级下,2,exact-surface-overlap,before,before,"prep. 在...之前,先于 conj. 在...以前;在...之前 adv. 以前;在前",yes
behind,behind,prep. 落后于;支持;晚于 n. 屁股 adv. 在后地;在原处,1年级下,1,exact-surface-overlap,behind,behind,prep. 落后于;支持;晚于 n. 屁股 adv. 在后地;在原处,yes
between,between,prep. 在...之间 adv. 在中间,4年级下,1,exact-surface-overlap,between,between,prep. 在...之间 adv. 在中间,yes
