SourceOccurrenceKey,SourceID,SourceBook,Grade,Semester,SourceRow,Word,MatchKey,British,American,Definition,SourceFile
renjiao_start3|g3-upper|r002|ruler,renjiao_start3,3年级上,3,上,2,ruler,ruler,[ˈruːlə(r)],[ˈruːlər],"n. 尺;统治者;[测] 划线板,划线的人",人教版三年级起点三年级上.xlsx
renjiao_start3|g3-upper|r003|pencil,renjiao_start3,3年级上,3,上,3,pencil,pencil,[ˈpens(ə)l],[ˈpensl],n. 铅笔;笔状物 vt. 用铅笔写;用眉笔涂 vi. 成铅笔状,人教版三年级起点三年级上.xlsx
renjiao_start3|g3-upper|r004|eraser,renjiao_start3,3年级上,3,上,4,eraser,eraser,[ɪˈreɪzə(r)],[ɪˈreɪsər],n. 橡皮;擦除器;[计] 清除器,人教版三年级起点三年级上.xlsx
renjiao_start3|g3-upper|r005|crayon,renjiao_start3,3年级上,3,上,5,crayon,crayon,[ˈkreɪən; ˈkreɪɒn],[ˈkreɪən; ˈkreɪɑːn],"n. 蜡笔,有色粉笔 vt. 以蜡笔作画,用颜色粉笔画",人教版三年级起点三年级上.xlsx
renjiao_start3|g3-upper|r006|bag,renjiao_start3,3年级上,3,上,6,bag,bag,[bæɡ],[bæɡ],"n. 袋;猎获物;(俚)一瓶啤酒 vt. 猎获;把...装入袋中;占据,私吞;使膨大 vi. 松垂",人教版三年级起点三年级上.xlsx
renjiao_start3|g3-upper|r007|pen,renjiao_start3,3年级上,3,上,7,pen,pen,[pen],[pen],n. 钢笔;作家;围栏 vt. 写;关入栏中,人教版三年级起点三年级上.xlsx
renjiao_start3|g3-upper|r008|pencil box,renjiao_start3,3年级上,3,上,8,pencil box,pencil box,,,铅笔盒;文具盒;你的铅笔盒,人教版三年级起点三年级上.xlsx
renjiao_start3|g3-upper|r009|book,renjiao_start3,3年级上,3,上,9,book,book,[bʊk],[bʊk],n. 书籍;卷;帐簿;名册;工作簿 vt. 预订;登记,人教版三年级起点三年级上.xlsx
renjiao_start3|g3-upper|r010|no,renjiao_start3,3年级上,3,上,10,no,no,[nəʊ],[noʊ],adv. 不 adj. 没有;不是 n. 不;否决票 abbr. 数字(number);元素锘(nobelium)的符号,人教版三年级起点三年级上.xlsx
renjiao_start3|g3-upper|r011|your,renjiao_start3,3年级上,3,上,11,your,your,[jɔː(r); jə(r)],[jʊr; jər],"pron. 你的,你们的",人教版三年级起点三年级上.xlsx
