SourceOccurrenceKey,SourceID,SourceBook,Grade,Semester,SourceRow,Word,MatchKey,British,American,Definition,SourceFile
shaanxi_start3|g3-upper|r001|hello,shaanxi_start3,3年级上,3,上,1,hello,hello,,,"n. 表示问候, 惊奇或唤起注意时的用语 int. 喂;哈罗",陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r002|hi,shaanxi_start3,3年级上,3,上,2,hi,hi,,,int. 嗨!(表示问候或用以唤起注意),陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r003|goodbye,shaanxi_start3,3年级上,3,上,3,goodbye,goodbye,,,int. 再见 放弃 告别,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r004|miss,shaanxi_start3,3年级上,3,上,4,Miss,miss,,,"n. 女士,小姐,年轻未婚女子 vt. 错过,想念,缺(勤)",陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r005|bye-bye,shaanxi_start3,3年级上,3,上,5,bye-bye,bye-bye,,,int. 再见 轮空晋级,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r006|i'm,shaanxi_start3,3年级上,3,上,6,I'm,i'm,,,abbr. 我是(缩写),陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r007|i am,shaanxi_start3,3年级上,3,上,7,I am,i am,,,我是;这就是我;唯我是问,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r008|what's,shaanxi_start3,3年级上,3,上,8,what's,what's,,,...是什么(等于what is);...有什么(等于what has),陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r009|what is,shaanxi_start3,3年级上,3,上,9,what is,what is,,,[计] whatis命令,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r010|your,shaanxi_start3,3年级上,3,上,10,your,your,,,"pron. 你的,你们的",陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r011|name,shaanxi_start3,3年级上,3,上,11,name,name,,,"n. 名称,名字;姓名;名誉 vt. 命名,任命;指定;称呼;提名;叫出 adj. 姓名的;据以取名的",陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r012|my,shaanxi_start3,3年级上,3,上,12,my,my,,,pron. 我的 int. 哎呀(表示惊奇等);喔唷,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r013|is,shaanxi_start3,3年级上,3,上,13,is,is,,,v. 是(be的三单形式) n. 存在,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r014|apple,shaanxi_start3,3年级上,3,上,14,apple,apple,,,"n. 苹果,苹果树,苹果似的东西;[美俚]炸弹,手榴弹,(棒球的)球;[美俚]人,家伙。",陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r015|boy,shaanxi_start3,3年级上,3,上,15,boy,boy,,,n. 男孩;男人,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r016|cat,shaanxi_start3,3年级上,3,上,16,cat,cat,,,"n. 猫,猫科动物",陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r017|dog,shaanxi_start3,3年级上,3,上,17,dog,dog,,,n. 狗;丑女人;卑鄙的人;(俚)朋友 vt. 跟踪;尾随,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r018|egg,shaanxi_start3,3年级上,3,上,18,egg,egg,,,n. 蛋;卵子;家伙;鸡蛋 vt. 煽动;怂恿,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r019|fish,shaanxi_start3,3年级上,3,上,19,fish,fish,,,"n. 鱼,鱼类 vt. 钓鱼,捕鱼;搜寻 vi. 捕鱼,钓鱼;用钩捞取",陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r020|girl,shaanxi_start3,3年级上,3,上,20,girl,girl,,,"n. 女孩;姑娘,未婚女子;女职员,女演员;(男人的)女朋友 n. (捷)吉尔",陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r021|how,shaanxi_start3,3年级上,3,上,21,how,how,,,adv. 如何;多少;多么 n. 方法;方式 conj. 如何,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r022|are,shaanxi_start3,3年级上,3,上,22,are,are,,,v. 是(be的第二人称单复数现在式) n. 公亩,陕西版三年级起点三年级上.xlsx
