SourceOccurrenceKey,SourceID,SourceBook,Grade,Semester,SourceRow,Word,MatchKey,British,American,Definition,SourceFile
yilin_start3|g3-upper|r002|hello!,yilin_start3,3年级上,3,上,2,Hello!,hello!,[həˈləʊ],[həˈləʊ],"int. 喂;哈罗 n. 表示问候, 惊奇或唤起注意时的用语",译林版三年级起点三年级上.xlsx
yilin_start3|g3-upper|r003|good morning.,yilin_start3,3年级上,3,上,3,Good morning.,good morning.,,,"int. (上午见面时用语,非正式场合常说 Morning)早上好",译林版三年级起点三年级上.xlsx
yilin_start3|g3-upper|r004|miss,yilin_start3,3年级上,3,上,4,Miss,miss,,,"n. 女士,小姐,年轻未婚女子 vt. 错过,想念,缺(勤)",译林版三年级起点三年级上.xlsx
yilin_start3|g3-upper|r005|hi.,yilin_start3,3年级上,3,上,5,Hi.,hi.,[haɪ],[haɪ],可移动磁盘,译林版三年级起点三年级上.xlsx
yilin_start3|g3-upper|r006|good afternoon.,yilin_start3,3年级上,3,上,6,Good afternoon.,good afternoon.,,,int. (下午见面时用语)下午好,译林版三年级起点三年级上.xlsx
yilin_start3|g3-upper|r007|class,yilin_start3,3年级上,3,上,7,class,class,[klɑːs],[klæs],"n. 阶级;班级;种类;班;等级 adj. 极好的;很好的,优秀的,出色的 vt. 分类;把...分等级;把...归入某等级,把...看作(或分类、归类);把...编入某一班级 vi. 属于...类(或等级),被列为某类(或某级)",译林版三年级起点三年级上.xlsx
yilin_start3|g3-upper|r008|i,yilin_start3,3年级上,3,上,8,I,i,[aɪ],[aɪ],n. 碘元素;英语字母I pron. 我,译林版三年级起点三年级上.xlsx
yilin_start3|g3-upper|r009|i'm,yilin_start3,3年级上,3,上,9,I'm,i'm,,,abbr. 我是(缩写),译林版三年级起点三年级上.xlsx
yilin_start3|g3-upper|r010|i am,yilin_start3,3年级上,3,上,10,I am,i am,,,我是;这就是我;唯我是问,译林版三年级起点三年级上.xlsx
yilin_start3|g3-upper|r011|are,yilin_start3,3年级上,3,上,11,are,are,[ɑ:(r)],[ər; ɑːr; er],v. 是(be的第二人称单复数现在式) n. 公亩,译林版三年级起点三年级上.xlsx
yilin_start3|g3-upper|r012|you,yilin_start3,3年级上,3,上,12,you,you,[ju],[juː; jə],pron. 你;你们,译林版三年级起点三年级上.xlsx
yilin_start3|g3-upper|r013|yes,yilin_start3,3年级上,3,上,13,yes,yes,[jes],[jes],"n. 是(表示肯定) adv. 是, 是的",译林版三年级起点三年级上.xlsx
yilin_start3|g3-upper|r014|am,yilin_start3,3年级上,3,上,14,am,am,[əm; æm],[əm; æm],abbr. 调幅 v. 是,译林版三年级起点三年级上.xlsx
yilin_start3|g3-upper|r015|no,yilin_start3,3年级上,3,上,15,no,no,[nəʊ],[noʊ],adv. 不 adj. 没有;不是 n. 不;否决票 abbr. 数字(number);元素锘(nobelium)的符号,译林版三年级起点三年级上.xlsx
yilin_start3|g3-upper|r016|not,yilin_start3,3年级上,3,上,16,not,not,[nɒt],[nɑːt],"adv. 表示否定,不 n. “非”(计算机中逻辑运算的一种)",译林版三年级起点三年级上.xlsx
yilin_start3|g3-upper|r017|goodbye.,yilin_start3,3年级上,3,上,17,Goodbye.,goodbye.,,,int. 再见 n. 告别;告别辞,译林版三年级起点三年级上.xlsx
yilin_start3|g3-upper|r018|my,yilin_start3,3年级上,3,上,18,my,my,[maɪ],[maɪ],pron. 我的 int. 哎呀(表示惊奇等);喔唷,译林版三年级起点三年级上.xlsx
yilin_start3|g3-upper|r019|friend,yilin_start3,3年级上,3,上,19,friend,friend,[frend],[frend],n. 朋友;助手;赞助者,译林版三年级起点三年级上.xlsx
yilin_start3|g3-upper|r020|she,yilin_start3,3年级上,3,上,20,she,she,[ʃi],[ʃi; ʃiː],n. 女人;雌性动物 pron. 她(主格);它(用来指雌性动物或国家、船舶、地球、月亮等),译林版三年级起点三年级上.xlsx
yilin_start3|g3-upper|r021|she's,yilin_start3,3年级上,3,上,21,she's,she's,,,abbr. 她是(she is);她有(she has),译林版三年级起点三年级上.xlsx
yilin_start3|g3-upper|r022|she is,yilin_start3,3年级上,3,上,22,she is,she is,,,无,译林版三年级起点三年级上.xlsx
yilin_start3|g3-upper|r023|he,yilin_start3,3年级上,3,上,23,he,he,[hi; iː; i; hiː],[hi; iː; i; hiː],"n. 男孩,男人;它(雄性动物) pron. 他",译林版三年级起点三年级上.xlsx
yilin_start3|g3-upper|r024|he's,yilin_start3,3年级上,3,上,24,he's,he's,,,abbr. 他是(he is);他有(he has),译林版三年级起点三年级上.xlsx
yilin_start3|g3-upper|r025|he is,yilin_start3,3年级上,3,上,25,he is,he is,,,他是;他比我大两岁;通常为形容词,译林版三年级起点三年级上.xlsx
