LearnerProfile,LearnerLevel,NoteID,CurrentStatus,CurrentLearningOrder,ProposedStatus,ProposedLearningTag,ProposedLearningOrder,AdmissionAction,PriorityDistinctSourceIDs,PrioritySourceOccurrences,PriorityTokenCount,OrderingPolicy,Reason
klose,4,KV000001,held,,allowed,learning::klose::third-party-primary,000632,promote-held-to-allowed,20,25,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV000002,held,,allowed,learning::klose::third-party-primary,000699,promote-held-to-allowed,19,21,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV000003,held,,allowed,learning::klose::third-party-primary,000653,promote-held-to-allowed,20,23,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV000004,allowed,000517,allowed,learning::klose::third-party-primary,000517,preserve-allowed,18,19,1,preserve-existing-allowed-then-cross-source-prevalence-v1,already-admitted-current-curriculum
klose,4,KV000005,held,,allowed,learning::klose::third-party-primary,000645,promote-held-to-allowed,20,24,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV000006,held,,allowed,learning::klose::third-party-primary,000776,promote-held-to-allowed,17,18,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV000007,held,,allowed,learning::klose::third-party-primary,000766,promote-held-to-allowed,17,30,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV000010,held,,allowed,learning::klose::third-party-primary,000767,promote-held-to-allowed,17,20,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV000011,held,,allowed,learning::klose::third-party-primary,000684,promote-held-to-allowed,19,23,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV000012,held,,allowed,learning::klose::third-party-primary,000686,promote-held-to-allowed,19,23,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV000013,held,,allowed,learning::klose::third-party-primary,000688,promote-held-to-allowed,19,23,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV000014,held,,allowed,learning::klose::third-party-primary,000651,promote-held-to-allowed,20,23,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV000015,held,,allowed,learning::klose::third-party-primary,000756,promote-held-to-allowed,18,19,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV000016,held,,allowed,learning::klose::third-party-primary,000727,promote-held-to-allowed,18,26,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV000017,held,,allowed,learning::klose::third-party-primary,000744,promote-held-to-allowed,18,20,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV000018,held,,allowed,learning::klose::third-party-primary,000649,promote-held-to-allowed,20,23,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV000019,held,,allowed,learning::klose::third-party-primary,000636,promote-held-to-allowed,20,24,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV000020,held,,allowed,learning::klose::third-party-primary,000635,promote-held-to-allowed,20,25,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV000021,held,,allowed,learning::klose::third-party-primary,000640,promote-held-to-allowed,20,24,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV000022,held,,allowed,learning::klose::third-party-primary,000691,promote-held-to-allowed,19,22,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
