NoteID,ProvisionalIdentityKey,SourceOccurrenceKey,SourceID,SourceBook,Grade,Semester,SourceRow,SourceSnapshotFingerprint,EvidenceStatus
KV001195,candidate:100-meter race,shaanxi_start3|g6-lower|r047|100-meter race,shaanxi_start3,6年级下,6,下,47,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001196,candidate:20th,guangdong_start3|g5-upper|r043|20th,guangdong_start3,5年级上,5,上,43,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001197,candidate:21st,guangdong_start3|g5-upper|r044|21st,guangdong_start3,5年级上,5,上,44,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001198,candidate:22nd,guangdong_start3|g5-upper|r045|22nd,guangdong_start3,5年级上,5,上,45,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001199,candidate:23rd,guangdong_start3|g5-upper|r046|23rd,guangdong_start3,5年级上,5,上,46,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001200,candidate:2nd,guangdong_start3|g5-upper|r040|2nd,guangdong_start3,5年级上,5,上,40,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001201,candidate:30th,guangdong_start3|g5-upper|r047|30th,guangdong_start3,5年级上,5,上,47,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001202,candidate:31st,guangdong_start3|g5-upper|r048|31st,guangdong_start3,5年级上,5,上,48,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001203,candidate:3rd,guangdong_start3|g5-upper|r041|3rd,guangdong_start3,5年级上,5,上,41,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001204,candidate:4th,guangdong_start3|g5-upper|r042|4th,guangdong_start3,5年级上,5,上,42,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001205,candidate:a bit,waiyan_start1|g3-lower|r004|a bit,waiyan_start1,3年级下,3,下,4,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001205,candidate:a bit,waiyan_start3|g4-lower|r005|a bit,waiyan_start3,4年级下,4,下,5,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000559,candidate:a box of crayons,renjiao_start1|g5-upper|r045|a box of crayons,renjiao_start1,5年级上,5,上,45,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000997,candidate:a few,beijing_start1|g6-lower|r002|a few,beijing_start1,6年级下,6,下,2,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000997,candidate:a few,guangzhou_start3|g6-upper|r011|a few,guangzhou_start3,6年级上,6,上,11,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000997,candidate:a few,hujiao_start3|g5-lower|r020|a few,hujiao_start3,5年级下,5,下,20,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000997,candidate:a few,jiaoke_eec_start3|g6-upper|r130|a few,jiaoke_eec_start3,6年级上,6,上,130,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000997,candidate:a few,niujin_shanghai_start1|g6-upper|r105|a few,niujin_shanghai_start1,6年级上,6,上,105,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000997,candidate:a few,renjiao_start3|g5-lower|r075|a few,renjiao_start3,5年级下,5,下,75,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000997,candidate:a few,yilin_start3|g6-lower|r043|a few,yilin_start3,6年级下,6,下,43,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001206,candidate:a knife and fork,waiyan_start1|g3-upper|r010|a knife and fork,waiyan_start1,3年级上,3,上,10,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001207,candidate:a liter of milk,beishida_start1|g5-lower|r064|a liter of milk,beishida_start1,5年级下,5,下,64,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001208,candidate:a little,guangzhou_start3|g6-upper|r112|a little,guangzhou_start3,6年级上,6,上,112,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001208,candidate:a little,hujiao_start3|g6-upper|r032|a little,hujiao_start3,6年级上,6,上,32,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001208,candidate:a little,jiaoke_eec_start3|g5-upper|r014|a little,jiaoke_eec_start3,5年级上,5,上,14,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001208,candidate:a little,luke_54_start3|g5-lower|r003|a little,luke_54_start3,5年级下,5,下,3,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001208,candidate:a little,niujin_shanghai_start1|g6-upper|r168|a little,niujin_shanghai_start1,6年级上,6,上,168,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001208,candidate:a little,shaanxi_start3|g5-lower|r012|a little,shaanxi_start3,5年级下,5,下,12,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001208,candidate:a little,shaanxi_start3|g5-upper|r085|a little,shaanxi_start3,5年级上,5,上,85,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001208,candidate:a little,yilin_start3|g6-lower|r042|a little,yilin_start3,6年级下,6,下,42,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001209,candidate:a long time ago,hujiao_start3|g6-lower|r066|a long time ago,hujiao_start3,6年级下,6,下,66,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000565,candidate:a lot,beishida_start3|g5-upper|r025|a lot,beishida_start3,5年级上,5,上,25,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000565,candidate:a lot,cambridge_join_start3|g4-lower|r065|a lot,cambridge_join_start3,4年级下,4,下,65,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000565,candidate:a lot,jiaoke_eec_start3|g5-upper|r088|a lot,jiaoke_eec_start3,5年级上,5,上,88,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000565,candidate:a lot,niujin_shanghai_start1|g6-lower|r113|a lot,niujin_shanghai_start1,6年级下,6,下,113,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000565,candidate:a lot,renjiao_start1|g5-upper|r053|a lot,renjiao_start1,5年级上,5,上,53,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000565,candidate:a lot,waiyan_start1|g4-upper|r055|a lot,waiyan_start1,4年级上,4,上,55,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000565,candidate:a lot,waiyan_start1|g4-upper|r092|a lot,waiyan_start1,4年级上,4,上,92,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000565,candidate:a lot,waiyan_start3|g5-upper|r104|a lot,waiyan_start3,5年级上,5,上,104,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000565,candidate:a lot,yilin_start3|g5-upper|r114|a lot,yilin_start3,5年级上,5,上,114,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000588,candidate:a lot of,guangdong_start3|g6-upper|r042|a lot of,guangdong_start3,6年级上,6,上,42,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000588,candidate:a lot of,hujiao_start3|g4-upper|r121|a lot of,hujiao_start3,4年级上,4,上,121,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000588,candidate:a lot of,kepu_start3|g6-lower|r058|a lot of,kepu_start3,6年级下,6,下,58,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000588,candidate:a lot of,minjiao_start3|g6-lower|r033|a lot of,minjiao_start3,6年级下,6,下,33,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000588,candidate:a lot of,niujin_shanghai_start1|g5-upper|r056|a lot of,niujin_shanghai_start1,5年级上,5,上,56,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000588,candidate:a lot of,niujin_shanghai_start1|g6-upper|r106|a lot of,niujin_shanghai_start1,6年级上,6,上,106,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000588,candidate:a lot of,renjiao_start1|g5-lower|r015|a lot of,renjiao_start1,5年级下,5,下,15,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000588,candidate:a lot of,shaanxi_start3|g6-upper|r028|a lot of,shaanxi_start3,6年级上,6,上,28,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000588,candidate:a lot of,waiyan_start1|g4-upper|r111|a lot of,waiyan_start1,4年级上,4,上,111,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000588,candidate:a lot of,waiyan_start3|g5-upper|r035|a lot of,waiyan_start3,5年级上,5,上,35,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000588,candidate:a lot of,yilin_start3|g5-upper|r052|a lot of,yilin_start3,5年级上,5,上,52,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001210,candidate:a pair of,guangzhou_start3|g4-upper|r140|a pair of,guangzhou_start3,4年级上,4,上,140,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001210,candidate:a pair of,hujiao_start3|g4-upper|r053|a pair of,hujiao_start3,4年级上,4,上,53,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001210,candidate:a pair of,kepu_start3|g4-lower|r022|a pair of,kepu_start3,4年级下,4,下,22,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001210,candidate:a pair of,shaanxi_start3|g5-upper|r071|a pair of,shaanxi_start3,5年级上,5,上,71,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001210,candidate:a pair of,waiyan_start1|g1-lower|r088|a pair of,waiyan_start1,1年级下,1,下,88,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000557,candidate:a pair of scissors,renjiao_start1|g5-upper|r043|a pair of scissors,renjiao_start1,5年级上,5,上,43,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001211,candidate:a piece of,hujiao_start3|g6-lower|r038|a piece of,hujiao_start3,6年级下,6,下,38,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001211,candidate:a piece of,shaanxi_start3|g6-lower|r021|a piece of,shaanxi_start3,6年级下,6,下,21,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001211,candidate:a piece of,xiangshao_start3|g6-lower|r006|a piece of,xiangshao_start3,6年级下,6,下,6,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000981,candidate:a.m.,guangzhou_start3|g5-lower|r051|a.m.,guangzhou_start3,5年级下,5,下,51,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000981,candidate:a.m.,hujiao_start3|g4-lower|r049|a.m.,hujiao_start3,4年级下,4,下,49,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV000981,candidate:a.m.,renjiao_start3|g5-lower|r020|a.m.,renjiao_start3,5年级下,5,下,20,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001212,candidate:ability,guangzhou_start3|g5-upper|r018|ability,guangzhou_start3,5年级上,5,上,18,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001213,candidate:able,waiyan_start1|g4-upper|r056|able,waiyan_start1,4年级上,4,上,56,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001214,candidate:aboard,jiaoke_eec_start3|g6-upper|r097|aboard,jiaoke_eec_start3,6年级上,6,上,97,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001215,candidate:about,beijing_start1|g4-lower|r042|about,beijing_start1,4年级下,4,下,42,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001215,candidate:about,beishida_start3|g5-lower|r054|about,beishida_start3,5年级下,5,下,54,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001215,candidate:about,cambridge_join_start3|g4-lower|r002|about,cambridge_join_start3,4年级下,4,下,2,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001215,candidate:about,guangdong_start3|g3-upper|r061|about,guangdong_start3,3年级上,3,上,61,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001215,candidate:about,guangdong_start3|g5-lower|r072|about,guangdong_start3,5年级下,5,下,72,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001215,candidate:about,guangzhou_start3|g4-upper|r104|about,guangzhou_start3,4年级上,4,上,104,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
KV001215,candidate:about,hujiao_start3|g4-lower|r058|about,hujiao_start3,4年级下,4,下,58,b025cb4f69b030da3664ab9b1bdd8500cb0166b122392b282a4293567702a7d4,external-unverified-edition
