MatchKey,ApprovalMode,PlanVersion,ReviewLane,ReviewBundleFingerprint,ReviewPacketFingerprint,DecisionKey,OccurrenceKeys,Action,CanonicalMatchKey,ObjectType,TargetSense,Status,Confidence,DecisionBasis,Rationale
farm,delta-revalidate,v5-throughput-delta,evidence-revalidation,6c5a521320b34780388253ba6faa77e71021ff3b55b9427fa17a326cd1419e4c,c677f130ce15ac5c17556ac66bd3853c7063d65848dc7b308d5d1a4a4a2e09df,,,,,,,,,,
fast,delta-revalidate,v5-throughput-delta,evidence-revalidation,6c5a521320b34780388253ba6faa77e71021ff3b55b9427fa17a326cd1419e4c,c677f130ce15ac5c17556ac66bd3853c7063d65848dc7b308d5d1a4a4a2e09df,,,,,,,,,,
fat,delta-revalidate,v5-throughput-delta,evidence-revalidation,6c5a521320b34780388253ba6faa77e71021ff3b55b9427fa17a326cd1419e4c,c677f130ce15ac5c17556ac66bd3853c7063d65848dc7b308d5d1a4a4a2e09df,,,,,,,,,,
father,delta-revalidate,v5-throughput-delta,evidence-revalidation,6c5a521320b34780388253ba6faa77e71021ff3b55b9427fa17a326cd1419e4c,c677f130ce15ac5c17556ac66bd3853c7063d65848dc7b308d5d1a4a4a2e09df,,,,,,,,,,
favourite,delta-revalidate,v5-throughput-delta,evidence-revalidation,6c5a521320b34780388253ba6faa77e71021ff3b55b9427fa17a326cd1419e4c,c677f130ce15ac5c17556ac66bd3853c7063d65848dc7b308d5d1a4a4a2e09df,,,,,,,,,,
festival,delta-revalidate,v5-throughput-delta,evidence-revalidation,6c5a521320b34780388253ba6faa77e71021ff3b55b9427fa17a326cd1419e4c,c677f130ce15ac5c17556ac66bd3853c7063d65848dc7b308d5d1a4a4a2e09df,,,,,,,,,,
fever,delta-revalidate,v5-throughput-delta,evidence-revalidation,6c5a521320b34780388253ba6faa77e71021ff3b55b9427fa17a326cd1419e4c,c677f130ce15ac5c17556ac66bd3853c7063d65848dc7b308d5d1a4a4a2e09df,,,,,,,,,,
fifteen,delta-revalidate,v5-throughput-delta,evidence-revalidation,6c5a521320b34780388253ba6faa77e71021ff3b55b9427fa17a326cd1419e4c,c677f130ce15ac5c17556ac66bd3853c7063d65848dc7b308d5d1a4a4a2e09df,,,,,,,,,,
fifty,delta-revalidate,v5-throughput-delta,evidence-revalidation,6c5a521320b34780388253ba6faa77e71021ff3b55b9427fa17a326cd1419e4c,c677f130ce15ac5c17556ac66bd3853c7063d65848dc7b308d5d1a4a4a2e09df,,,,,,,,,,
find,delta-revalidate,v5-throughput-delta,evidence-revalidation,6c5a521320b34780388253ba6faa77e71021ff3b55b9427fa17a326cd1419e4c,c677f130ce15ac5c17556ac66bd3853c7063d65848dc7b308d5d1a4a4a2e09df,,,,,,,,,,
fine,delta-revalidate,v5-throughput-delta,evidence-revalidation,6c5a521320b34780388253ba6faa77e71021ff3b55b9427fa17a326cd1419e4c,c677f130ce15ac5c17556ac66bd3853c7063d65848dc7b308d5d1a4a4a2e09df,,,,,,,,,,
finish,delta-revalidate,v5-throughput-delta,evidence-revalidation,6c5a521320b34780388253ba6faa77e71021ff3b55b9427fa17a326cd1419e4c,c677f130ce15ac5c17556ac66bd3853c7063d65848dc7b308d5d1a4a4a2e09df,,,,,,,,,,
fire,delta-revalidate,v5-throughput-delta,evidence-revalidation,6c5a521320b34780388253ba6faa77e71021ff3b55b9427fa17a326cd1419e4c,c677f130ce15ac5c17556ac66bd3853c7063d65848dc7b308d5d1a4a4a2e09df,,,,,,,,,,
first,delta-revalidate,v5-throughput-delta,evidence-revalidation,6c5a521320b34780388253ba6faa77e71021ff3b55b9427fa17a326cd1419e4c,c677f130ce15ac5c17556ac66bd3853c7063d65848dc7b308d5d1a4a4a2e09df,,,,,,,,,,
five,delta-revalidate,v5-throughput-delta,evidence-revalidation,6c5a521320b34780388253ba6faa77e71021ff3b55b9427fa17a326cd1419e4c,c677f130ce15ac5c17556ac66bd3853c7063d65848dc7b308d5d1a4a4a2e09df,,,,,,,,,,
flag,delta-revalidate,v5-throughput-delta,evidence-revalidation,6c5a521320b34780388253ba6faa77e71021ff3b55b9427fa17a326cd1419e4c,c677f130ce15ac5c17556ac66bd3853c7063d65848dc7b308d5d1a4a4a2e09df,,,,,,,,,,
floor,full-decision,v5-throughput-delta,evidence-revalidation,6c5a521320b34780388253ba6faa77e71021ff3b55b9427fa17a326cd1419e4c,c677f130ce15ac5c17556ac66bd3853c7063d65848dc7b308d5d1a4a4a2e09df,surface:floor,*,split-required,,vocabulary,,held,high,waiyan-start3-semantic-collision-split-required,"New Waiyan Start3 number/floor neighborhood supplies explicit storey/楼层 evidence, distinct from the previously frozen floor=地板 room-surface sense. The prior rationale explicitly reserved storey/楼层 for a separate unit once occurrence evidence could bind it. Current batch has not re-partitioned all six source occurrences with sufficient exact evidence, so preserve the collision as split-required rather than fabricate a complete partition."
flower,delta-revalidate,v5-throughput-delta,evidence-revalidation,6c5a521320b34780388253ba6faa77e71021ff3b55b9427fa17a326cd1419e4c,c677f130ce15ac5c17556ac66bd3853c7063d65848dc7b308d5d1a4a4a2e09df,,,,,,,,,,
flute,delta-revalidate,v5-throughput-delta,evidence-revalidation,6c5a521320b34780388253ba6faa77e71021ff3b55b9427fa17a326cd1419e4c,c677f130ce15ac5c17556ac66bd3853c7063d65848dc7b308d5d1a4a4a2e09df,,,,,,,,,,
football,delta-revalidate,v5-throughput-delta,evidence-revalidation,6c5a521320b34780388253ba6faa77e71021ff3b55b9427fa17a326cd1419e4c,c677f130ce15ac5c17556ac66bd3853c7063d65848dc7b308d5d1a4a4a2e09df,,,,,,,,,,
forget,delta-revalidate,v5-throughput-delta,evidence-revalidation,6c5a521320b34780388253ba6faa77e71021ff3b55b9427fa17a326cd1419e4c,c677f130ce15ac5c17556ac66bd3853c7063d65848dc7b308d5d1a4a4a2e09df,,,,,,,,,,
fork,delta-revalidate,v5-throughput-delta,evidence-revalidation,6c5a521320b34780388253ba6faa77e71021ff3b55b9427fa17a326cd1419e4c,c677f130ce15ac5c17556ac66bd3853c7063d65848dc7b308d5d1a4a4a2e09df,,,,,,,,,,
forty,delta-revalidate,v5-throughput-delta,evidence-revalidation,6c5a521320b34780388253ba6faa77e71021ff3b55b9427fa17a326cd1419e4c,c677f130ce15ac5c17556ac66bd3853c7063d65848dc7b308d5d1a4a4a2e09df,,,,,,,,,,
