NoteID,OriginType,ReleaseState,CanonicalWord,Word,SenseLabel,MeaningPrimary,ExistingBritish,ExistingAmerican,MissingSides,OriginalBritishEvidenceStatus,OriginalAmericanEvidenceStatus,OriginalBritishCandidate,OriginalAmericanCandidate,CandidateBritish,CandidateAmerican,CandidateEngine,CandidateEngineVersion,CandidateBritishVoice,CandidateAmericanVoice,RiskFlags
KV001471,new-third-party-stable,unreleased,Chinese ink painting,Chinese ink painting,中国水墨画,中国水墨画,,,British+American,missing,missing,,,[tʃaɪnˈiːz ˈɪŋk pˈeɪntɪŋ],[tʃaɪnˈiːz ˈɪŋk pˈeɪntɪŋ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword proper-case
KV001472,new-third-party-stable,unreleased,Chinese leaves,Chinese leaves,大白菜,大白菜,,,British+American,missing,missing,,,[tʃaɪnˈiːz lˈiːvz],[tʃaɪnˈiːz lˈiːvz],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword proper-case
KV001473,new-third-party-stable,unreleased,Chinese New Year,Chinese New Year,中国新年；春节,中国新年；春节,,,British+American,missing,missing,,,[tʃaɪnˈiːz njˈuː jˈiə],[tʃaɪnˈiːz nˈuː jˈɪɹ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword proper-case
KV001474,new-third-party-stable,unreleased,Chinese New Year's Day,Chinese New Year's Day,中国新年第一天；大年初一,中国新年第一天；大年初一,,,British+American,missing,missing,,,[tʃaɪnˈiːz njˈuː jˈiəz dˈeɪ],[tʃaɪnˈiːz nˈuː jˈɪɹz dˈeɪ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword proper-case punctuation
KV001475,new-third-party-stable,unreleased,Chinese New Year's Eve,Chinese New Year's Eve,除夕夜,除夕夜,,,British+American,missing,missing,,,[tʃaɪnˈiːz njˈuː jˈiəz ˈiːv],[tʃaɪnˈiːz nˈuː jˈɪɹz ˈiːv],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword proper-case punctuation
KV001479,new-third-party-stable,unreleased,Chongyang Festival,Chongyang Festival,重阳节,重阳节,,,British+American,missing,missing,,,[tʃəŋjˈaŋ fˈɛstɪvəl],[tʃəŋjˈɑːŋ fˈɛstɪvəl],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword proper-case
KV001480,new-third-party-stable,unreleased,choose,choose,选择,选择,,,British+American,conflicting-evidence,conflicting-evidence,[tʃuːz],[tʃuːz],[tʃˈuːz],[tʃˈuːz],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,
KV001490,new-third-party-stable,unreleased,clapping game,clapping game,拍手游戏,拍手游戏,,,British+American,missing,missing,,,[klˈapɪŋ ɡˈeɪm],[klˈæpɪŋ ɡˈeɪm],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001491,new-third-party-stable,unreleased,clean my room,clean my room,打扫我的房间,打扫我的房间,,,British+American,missing,missing,,,[klˈiːn maɪ ɹˈuːm],[klˈiːn maɪ ɹˈuːm],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001494,new-third-party-stable,unreleased,climb trees,climb trees,爬树,爬树,,,British+American,missing,missing,,,[klˈaɪm tɹˈiːz],[klˈaɪm tɹˈiːz],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
