Word,British,American,MeaningPrimary,MeaningRaw,Books,Tags
Chinese,[ˌtʃaɪˈniːz],[ˌtʃaɪˈniːz],中文，汉语,"n. 中文，汉语；中国人
adj. 中国的，中国人的；中国话的",3年级下,rj_start1 grade::3 semester::下 appears::3年级下
English,[ˈɪŋɡlɪʃ],[ˈɪŋɡlɪʃ],英语,"n. 英语；英国人；英文；英格兰人
adj. 英国人的；英国的；英文的
vt. 把…译成英语",3年级下,rj_start1 grade::3 semester::下 appears::3年级下
science,[ˈsaɪəns],[ˈsaɪəns],科学,n. 科学；技术；学科；理科,3年级下,rj_start1 grade::3 semester::下 appears::3年级下
PE,[peɪ],[peɪ],体育课，体能训练（physical education）,abbr. 体育课，体能训练（physical education）,3年级下,rj_start1 grade::3 semester::下 appears::3年级下
music,[ˈmjuːzɪk],[ˈmjuːzɪk],音乐，乐曲,n. 音乐，乐曲,3年级下,rj_start1 grade::3 semester::下 appears::3年级下
maths,[mæθs],[mæθs],数学（等于mathematics）,n. 数学（等于mathematics）,3年级下,rj_start1 grade::3 semester::下 appears::3年级下
art,[ɑːt],[ɑːrt],艺术,"n. 艺术；美术；艺术品
v. 是（be的变体）
adj. 艺术的；艺术品的",3年级下,rj_start1 grade::3 semester::下 appears::3年级下
computer class,,,计算机课,计算机课；电脑班；电脑课,3年级下,rj_start1 grade::3 semester::下 appears::3年级下
we,[wi; wiː],[wi],我们,pron. 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人,3年级下,rj_start1 grade::3 semester::下 appears::3年级下
that,[ðæt],[ðæt],那；那个,"conj. 因为；以至于
adj. 那；那个
pron. 那；那个
adv. 那么；那样",3年级下,rj_start1 grade::3 semester::下 appears::3年级下
classroom,[ˈklɑːsruːm],[ˈklæsruːm; ˈklæsrʊm],教室,n. 教室,3年级下,rj_start1 grade::3 semester::下 appears::3年级下
library,[ˈlaɪbrəri; ˈlaɪbri],[ˈlaɪbreri],图书馆，藏书室,n. 图书馆，藏书室；文库,3年级下,rj_start1 grade::3 semester::下 appears::3年级下
toilet,[ˈtɔɪlət],[ˈtɔɪlət],厕所，盥洗室,"n. 厕所，盥洗室；梳妆，打扮
vt. 给…梳妆打扮
vi. 梳妆，打扮",3年级下,rj_start1 grade::3 semester::下 appears::3年级下
playground,[ˈpleɪɡraʊnd],[ˈpleɪɡraʊnd],运动场，操场,n. 运动场，操场；游乐场,3年级下,rj_start1 grade::3 semester::下 appears::3年级下
second,[ˈsekənd],[ˈsekənd; sɪˈkɑːnd],第二,"num. 第二
n. 秒；第二名；瞬间；二等品
adj. 第二的；次要的；附加的
vt. 支持
adv. 第二；其次；居第二位",3年级下,rj_start1 grade::3 semester::下 appears::3年级下
third,[θɜːd],[θɜːrd],第三,"num. 第三；三分之一
adj. 第三的；三分之一的",3年级下,rj_start1 grade::3 semester::下 appears::3年级下
