Metric,Value
source_files,12
source_occurrences,908
unique_notes,802
repeated_words,96
curated_notes,802
curation_review_items,0
source_occurrences_1年级上,53
source_occurrences_1年级下,45
source_occurrences_2年级上,54
source_occurrences_2年级下,55
source_occurrences_3年级上,104
source_occurrences_3年级下,84
source_occurrences_4年级上,116
source_occurrences_4年级下,87
source_occurrences_5年级上,66
source_occurrences_5年级下,101
source_occurrences_6年级上,102
source_occurrences_6年级下,41
new_notes_1年级上,53
new_notes_1年级下,45
new_notes_2年级上,54
new_notes_2年级下,55
new_notes_3年级上,74
new_notes_3年级下,62
new_notes_4年级上,96
new_notes_4年级下,79
new_notes_5年级上,60
new_notes_5年级下,95
new_notes_6年级上,90
new_notes_6年级下,39
