Word,WordRaw,British,American,MeaningRaw,Book,Grade,Semester,SourceFile,SourceRow
book,book,[bʊk],[bʊk],"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记",1年级上,1,上,人教版一年级起点一年级上.xlsx,2
ruler,ruler,[ˈruːlə(r)],[ˈruːlər],n. 尺；统治者；[测] 划线板，划线的人,1年级上,1,上,人教版一年级起点一年级上.xlsx,3
pencil,pencil,[ˈpens(ə)l],[ˈpensl],"n. 铅笔；笔状物
vt. 用铅笔写；用眉笔涂
vi. 成铅笔状",1年级上,1,上,人教版一年级起点一年级上.xlsx,4
schoolbag,schoolbag,[ˈskuːlbæɡ],[ˈskuːlˌbæɡ],n. 书包,1年级上,1,上,人教版一年级起点一年级上.xlsx,5
teacher,teacher,[ˈtiːtʃə(r)],[ˈtiːtʃər],n. 教师；导师,1年级上,1,上,人教版一年级起点一年级上.xlsx,6
I,I,[aɪ],[aɪ],"n. 碘元素；英语字母I
pron. 我",1年级上,1,上,人教版一年级起点一年级上.xlsx,7
have,have,[həv],[həv; əv; hæv],"aux. 已经
vt. 有；让；拿；从事；允许",1年级上,1,上,人教版一年级起点一年级上.xlsx,8
a,a,[ə],[ə; eɪ],"n. 字母A；第一流的；学业成绩达最高标准的评价符号
abbr. [物]安（ampere）",1年级上,1,上,人教版一年级起点一年级上.xlsx,9
an,an,[ən],[ən; æn],art. 一（在元音音素前）,1年级上,1,上,人教版一年级起点一年级上.xlsx,10
face,face,[feɪs],[feɪs],"n. 脸；表面；面子；面容；外观；威信
vi. 向；朝
vt. 面对；面向；承认；抹盖",1年级上,1,上,人教版一年级起点一年级上.xlsx,11
ear,ear,[ɪə(r)],[ɪr],"n. 耳朵；穗；听觉；倾听
vi. （美俚）听见；抽穗",1年级上,1,上,人教版一年级起点一年级上.xlsx,12
eye,eye,[aɪ],[aɪ],"n. 眼睛；视力；眼光；见解，观点
vt. 注视，看",1年级上,1,上,人教版一年级起点一年级上.xlsx,13
nose,nose,[nəʊz],[noʊz],"n. 鼻子；嗅觉；突出的部分；探问
vt. 嗅；用鼻子触
vi. 小心探索着前进；探问",1年级上,1,上,人教版一年级起点一年级上.xlsx,14
mouth,mouth,[maʊθ],[maʊθ],"n. 口，嘴；河口
vt. 做作地说，装腔作势地说；喃喃地说出
vi. 装腔作势说话",1年级上,1,上,人教版一年级起点一年级上.xlsx,15
this,this,[ðɪs],[ðɪs],"adj. 这；本；这个；今
pron. 这；这个；这里
adv. 这样地；这么",1年级上,1,上,人教版一年级起点一年级上.xlsx,16
is,is,[ɪz],[ɪz],"v. 是（be的三单形式）
n. 存在",1年级上,1,上,人教版一年级起点一年级上.xlsx,17
my,my,[maɪ],[maɪ],"pron. 我的
int. 哎呀（表示惊奇等）；喔唷",1年级上,1,上,人教版一年级起点一年级上.xlsx,18
dog,dog,[dɒɡ],[dɔːɡ],"n. 狗；丑女人；卑鄙的人；(俚)朋友
vt. 跟踪；尾随",1年级上,1,上,人教版一年级起点一年级上.xlsx,19
bird,bird,[bɜːd],[bɜːrd],"n. 鸟；家伙；羽毛球
vt. 向…喝倒彩；起哄
vi. 猎鸟；观察研究野鸟",1年级上,1,上,人教版一年级起点一年级上.xlsx,20
tiger,tiger,[ˈtaɪɡə(r)],[ˈtaɪɡər],n. 老虎；凶暴的人,1年级上,1,上,人教版一年级起点一年级上.xlsx,21
monkey,monkey,[ˈmʌŋki],[ˈmʌŋki],"n. 猴子；顽童
vi. 胡闹；捣蛋
vt. 嘲弄",1年级上,1,上,人教版一年级起点一年级上.xlsx,22
cat,cat,[kæt],[kæt],n. 猫，猫科动物,1年级上,1,上,人教版一年级起点一年级上.xlsx,23
what,what,[wɒt],[wʌt],"pron. 什么；多么；多少
adv. 到什么程度，在哪一方面
adj. 什么；多么；何等
int. 什么；多么",1年级上,1,上,人教版一年级起点一年级上.xlsx,24
it,it,[ɪt],[ɪt],"abbr. 信息技术information technology
abbr. 意大利Italy；意大利的Italian",1年级上,1,上,人教版一年级起点一年级上.xlsx,25
one,one,[wʌn],[wʌn],"pron. 一个人；任何人
adj. 一的；唯一的
n. 一
num. 一；一个",1年级上,1,上,人教版一年级起点一年级上.xlsx,26
two,two,[tuː],[tuː],"num. 二
n. 两个
adj. 两个的",1年级上,1,上,人教版一年级起点一年级上.xlsx,27
three,three,[θriː],[θriː],"num. 三
n. 三，三个
adj. 三的，三个的",1年级上,1,上,人教版一年级起点一年级上.xlsx,28
four,four,[fɔː(r)],[fɔːr],"num. 四；四个
adj. 四的；四个的",1年级上,1,上,人教版一年级起点一年级上.xlsx,29
five,five,[faɪv],[faɪv],"num. 五，五个
n. 五，五个；五美元钞票
adj. 五的；五个的",1年级上,1,上,人教版一年级起点一年级上.xlsx,30
six,six,[sɪks],[sɪks],"num. 六，六个
n. 六，六个",1年级上,1,上,人教版一年级起点一年级上.xlsx,31
seven,seven,[ˈsev(ə)n],[ˈsev(ə)n],"num. 七个，七
n. 七个，七
adj. 七的；七个的",1年级上,1,上,人教版一年级起点一年级上.xlsx,32
eight,eight,[eɪt],[eɪt],"num. 八；八个；第八
n. 八字形
adj. 八的",1年级上,1,上,人教版一年级起点一年级上.xlsx,33
nine,nine,[naɪn],[naɪn],"n. 九，九个
num. 九；九个
adj. 九的，九个的",1年级上,1,上,人教版一年级起点一年级上.xlsx,34
ten,ten,[ten],[ten],num. 十个，十,1年级上,1,上,人教版一年级起点一年级上.xlsx,35
how,how,[haʊ],[haʊ],"adv. 如何；多少；多么
n. 方法；方式
conj. 如何",1年级上,1,上,人教版一年级起点一年级上.xlsx,36
many,many,[ˈmeni],[ˈmeni],"pron. 许多；许多人
adj. 许多的",1年级上,1,上,人教版一年级起点一年级上.xlsx,37
are,are,[ɑ:(r)],[ər; ɑːr; er],"v. 是（be的第二人称单复数现在式）
n. 公亩",1年级上,1,上,人教版一年级起点一年级上.xlsx,38
there,there,[ðeə(r)],[ðer],"n. 那个地方
adv. 在那里；在那边；在那点上
int. 你瞧",1年级上,1,上,人教版一年级起点一年级上.xlsx,39
black,black,[blæk],[blæk],"n. 黑色；黑人；黑颜料
adj. 黑色的；黑人的；邪恶的
vt. 使变黑；把鞋油等涂在…上；把（眼眶）打成青肿
vi. 变黑",1年级上,1,上,人教版一年级起点一年级上.xlsx,40
yellow,yellow,[ˈjeləʊ],[ˈjeloʊ],"n. 黄色；黄种人；黄色颜料
adj. 黄色的；黄皮肤的
vt. 使变黄或发黄
vi. 变黄或发黄",1年级上,1,上,人教版一年级起点一年级上.xlsx,41
blue,blue,[bluː],[bluː],"adj. 蓝色的；沮丧的，忧郁的；下流的
n. 蓝色；[复数]（美国海、陆、空三军穿的）蓝色制服；蓝颜料；[the blue(s)][用作单数或复数]布鲁斯（歌曲）（一种伤感的美国黑人民歌
vi. 变成蓝色，呈蓝色
vt. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于",1年级上,1,上,人教版一年级起点一年级上.xlsx,42
red,red,[red],[red],"n. 红色，红颜料；赤字
adj. 红色的；红肿的，充血的",1年级上,1,上,人教版一年级起点一年级上.xlsx,43
green,green,[ɡriːn],[ɡriːn],"n. 绿色；青春
adj. 绿色的；青春的
vt. 使…变绿色
vi. 变绿色",1年级上,1,上,人教版一年级起点一年级上.xlsx,44
colour,colour,[ˈkʌlə(r)],[ˈkʌlər],"n. 颜色；风格；气色，面色；外貌
vt. 把…涂颜色，粉饰；歪曲；使脸红
vi. 变色",1年级上,1,上,人教版一年级起点一年级上.xlsx,45
apple,apple,[ˈæp(ə)l],[ˈæpl],n. 苹果，苹果树，苹果似的东西；[美俚]炸弹，手榴弹，（棒球的）球；[美俚]人，家伙。,1年级上,1,上,人教版一年级起点一年级上.xlsx,46
pear,pear,[peə(r)],[per],n. [园艺] 梨树；梨子,1年级上,1,上,人教版一年级起点一年级上.xlsx,47
banana,banana,[bəˈnɑːnə],[bəˈnænə],n. 香蕉；喜剧演员；大鹰钩鼻,1年级上,1,上,人教版一年级起点一年级上.xlsx,48
orange,orange,[ˈɒrɪndʒ],[ˈɔrɪndʒ],"adj. 橙色的；橘色的
n. 橙；橙色；桔子",1年级上,1,上,人教版一年级起点一年级上.xlsx,49
do,do,[duː; də; du; dəʊ],[duː; də; du; doʊ],"vi. 行，足够；生长
n. 要求；规定；C大调音阶中的第一音
v. 做；干；学习；研究；进行；完成；解答；整理；算出；引起；行过
aux. 助动词（构成疑问句和否定句）；（代替动词）；（用于加强语气）
n. （口语）事件；（主英国口语）诈骗；（主英国、新西兰口语）宴会；（口语）必须做到的事情",1年级上,1,上,人教版一年级起点一年级上.xlsx,50
you,you,[ju],[juː; jə],pron. 你；你们,1年级上,1,上,人教版一年级起点一年级上.xlsx,51
like,like,[laɪk],[laɪk],"vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像",1年级上,1,上,人教版一年级起点一年级上.xlsx,52
yes,yes,[jes],[jes],"n. 是（表示肯定）
adv. 是, 是的",1年级上,1,上,人教版一年级起点一年级上.xlsx,53
no,no,[nəʊ],[noʊ],"adv. 不
adj. 没有；不是
n. 不；否决票
abbr. 数字（number）；元素锘（nobelium）的符号",1年级上,1,上,人教版一年级起点一年级上.xlsx,54
chair,chair,[tʃeə(r)],[tʃer],"n. 椅子；讲座；（会议的）主席位；大学教授的职位
vt. 担任（会议的）主席；使…入座；使就任要职",1年级下,1,下,人教版一年级起点一年级下.xlsx,2
desk,desk,[desk],[desk],"n. 办公桌；服务台；编辑部；（美）讲道台；乐谱架
adj. 书桌的；桌上用的；伏案做的",1年级下,1,下,人教版一年级起点一年级下.xlsx,3
blackboard,blackboard,[ˈblækbɔːd],[ˈblækbɔːrd],n. 黑板,1年级下,1,下,人教版一年级起点一年级下.xlsx,4
on,on,[ɒn],[ɑːn],"adv. 向前地；作用中，行动中；继续着
prep. 向，朝……；关于；在……之上；在……时候
adj. 开着的；发生着的，正在进行中",1年级下,1,下,人教版一年级起点一年级下.xlsx,5
under,under,[ˈʌndə(r)],[ˈʌndər],"prep. 低于，少于；在...之下
adj. 下面的；从属的
adv. 在下面；在下方",1年级下,1,下,人教版一年级起点一年级下.xlsx,6
in,in,[ɪn],[ɪn],"prep. 按照（表示方式）；从事于；在…之内
n. 执政者；门路；知情者
adj. 在里面的；时髦的
adv. 进入；当选；（服装等）时髦；在屋里",1年级下,1,下,人教版一年级起点一年级下.xlsx,7
where,where,[weə(r)],[wer],"conj. 在…的地方
n. 地点
adv. 在哪里
pron. 哪里",1年级下,1,下,人教版一年级起点一年级下.xlsx,8
the,the,[ðə],[ðə; ði; ðiː],"art. 这；那
adv. 更加（用于比较级，最高级前）",1年级下,1,下,人教版一年级起点一年级下.xlsx,9
light,light,[laɪt],[laɪt],"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地",1年级下,1,下,人教版一年级起点一年级下.xlsx,10
bed,bed,[bed],[bed],"n. 床；基础；河底， 海底
vt. 使睡觉；安置，嵌入；栽种
vi. 上床；分层",1年级下,1,下,人教版一年级起点一年级下.xlsx,11
door,door,[dɔː(r)],[dɔːr],n. 门；家，户；门口；通道,1年级下,1,下,人教版一年级起点一年级下.xlsx,12
box,box,[bɒks],[bɑːks],"n. 箱，盒子；包厢；一拳
vt. 拳击；装…入盒中；打耳光
vi. 拳击",1年级下,1,下,人教版一年级起点一年级下.xlsx,13
near,near,[nɪə(r)],[nɪr],"adj. 近的；亲近的；近似的
adv. 近；接近
prep. 靠近；近似于",1年级下,1,下,人教版一年级起点一年级下.xlsx,14
behind,behind,[bɪˈhaɪnd],[bɪˈhaɪnd],"prep. 落后于；支持；晚于
n. 屁股
adv. 在后地；在原处",1年级下,1,下,人教版一年级起点一年级下.xlsx,15
plane,plane,[pleɪn],[pleɪn],"n. 飞机；平面；程度，水平
adj. 平的；平面的
vt. 刨平；用刨子刨；掠过水面
vi. 刨；乘飞机旅行；翱翔",1年级下,1,下,人教版一年级起点一年级下.xlsx,16
ball,ball,[bɔːl],[bɔːl],"n. 球；舞会
vt. 捏成球形
vi. 成团块",1年级下,1,下,人教版一年级起点一年级下.xlsx,17
doll,doll,[dɒl],[dɑːl],"n. 洋娃娃；玩偶；无头脑的美丽女人
vt. 把…打扮得花枝招展",1年级下,1,下,人教版一年级起点一年级下.xlsx,18
train,train,[treɪn],[treɪn],"n. 火车；行列；长队；裙裾
v. 培养；训练；瞄准",1年级下,1,下,人教版一年级起点一年级下.xlsx,19
car,car,[kɑː(r)],[kɑːr],n. 汽车；车厢,1年级下,1,下,人教版一年级起点一年级下.xlsx,20
bear,bear,[beə(r)],[ber],"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑",1年级下,1,下,人教版一年级起点一年级下.xlsx,21
can,can,[kən; kæn],[kən; kæn],"aux. 能； 能够； 可以； 可能
n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
vt. 将…装入密封罐中保存",1年级下,1,下,人教版一年级起点一年级下.xlsx,22
sure,sure,[ʃʊə(r)],[ʃʊr],"adj. 确信的；可靠的；必定的
adv. 当然；的确",1年级下,1,下,人教版一年级起点一年级下.xlsx,23
sorry,sorry,[ˈsɒri],[ˈsɑːri],"adj. 遗憾的；对不起的，抱歉的
int. 对不起，抱歉（表示委婉的拒绝等）",1年级下,1,下,人教版一年级起点一年级下.xlsx,24
rice,rice,[raɪs],[raɪs],"n. 稻；米饭
vt. 把…捣成米糊状",1年级下,1,下,人教版一年级起点一年级下.xlsx,25
noodles,noodles,[ˈnuːd(ə)lz],[ˈnuːd(ə)lz],n. 面条，挂面（noodle的复数形式),1年级下,1,下,人教版一年级起点一年级下.xlsx,26
vegetable,vegetable,[ˈvedʒtəb(ə)l],[ˈvedʒtəbl],"n. 蔬菜；植物；植物人
adj. 蔬菜的；植物的",1年级下,1,下,人教版一年级起点一年级下.xlsx,27
