Word,MeaningPrimary,FirstBook
too much,na. 太过份,5年级下
candy,糖果（等于sweets）,5年级下
early,早期的,5年级下
exercise,运动,5年级下
tired,疲倦,5年级下
drink,酒，饮料,5年级下
stomachache,腹痛，肚子痛,5年级下
headache,头痛,5年级下
toothache,牙痛,5年级下
a lot of,许多,5年级下
sleepy,欲睡的,5年级下
subject,主题,5年级下
mark,标志,5年级下
advice,建议,5年级下
more,更多,5年级下
New Year's Day,na. 元旦,5年级下
Tree Planting Day,无,5年级下
Mother's Day,na. (美国和加拿大的)母亲节,5年级下
Children's Day,na. 儿童节,5年级下
Father's Day,na. 〈美〉父亲节(每年六月的第三个星期日),5年级下
Teachers' Day,教师节,5年级下
National Day,na. 国庆日,5年级下
Christmas Day,"【宗,基督】圣诞节",5年级下
fifth,第五,5年级下
5th,第五（fifth）,5年级下
tenth,第十,5年级下
10th,无,5年级下
twelfth,第十二,5年级下
12th,无,5年级下
twenty-fifth,第二十五,5年级下
25th,无,5年级下
plant,工厂，车间,5年级下
make a poster,制作海报,5年级下
celebrate,庆祝,5年级下
have a picnic,举行野餐,5年级下
office,办公室,5年级下
together,新潮的,5年级下
special,特使，特派人员,5年级下
send an email,无,5年级下
write a letter,na. 写信,5年级下
make a phone call,打电话,5年级下
send a short message,无,5年级下
mail a present,无,5年级下
make a video call,无,5年级下
say,讲,5年级下
make a card,na. (牌戏)打成一墩,5年级下
everywhere,每个地方,5年级下
flower show,na. 花卉展览,5年级下
cleaned the window,无,5年级下
watched TV,无,5年级下
climbed a hill,无,5年级下
visited grandparents,无,5年级下
danced,跳舞( dance的过去式和过去分词 ),5年级下
jumped rope,跳绳游戏,5年级下
listened to music,无,5年级下
rowed a boat,无,5年级下
played computer games,无,5年级下
stayed at home,无,5年级下
played the piano,无,5年级下
played chess,无,5年级下
washed clothes,无,5年级下
boring,钻孔,5年级下
badminton,羽毛球,5年级下
won,赢得（win的过去式和过去分词）,5年级下
went to the beach,无,5年级下
drank cold drinks,无,5年级下
swam,游泳（swim的过去式）,5年级下
ate ice-cream,无,5年级下
the Stone Forest,无,5年级下
bought some gifts,无,5年级下
took photos,无,5年级下
saw flowers,无,5年级下
slept,睡觉（sleep的过去式和过去分词）,5年级下
felt happy,无,5年级下
sad,难过的,5年级下
left,左边的,5年级下
French fries,【食】炸薯条,5年级下
were,是,5年级下
was born,出生,5年级下
started to speak,无,5年级下
learned to walk,无,5年级下
learned to ride a bike,无,5年级下
went to kindergarten,无,5年级下
went to school,"vbl.到校上课,开始求学",5年级下
learned to swim,无,5年级下
fifteenth,第十五的,5年级下
15th,无,5年级下
started to buy things,无,5年级下
started to study English,无,5年级下
started to use a computer,无,5年级下
all over,满,5年级下
out of,来自,5年级下
into,到…里,5年级下
chopsticks,筷子,5年级下
wet,雨天,5年级下
